id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
259,Harriet Henry,,,,,,,2025-07-05T22:18:25.74318,2025-07-05T22:18:25.74318,
64,Harriette Ashbrook,1898,1946,United States,,US-american crime writer. Occupations: crime fiction writer,Q28007662,2025-06-17T03:44:44.513472,2025-06-17T16:37:55.591227,
8,Harriet Theresa Comstock,1860,1925,United States,,,Q5664346,2025-06-17T03:44:44.513472,2025-06-17T16:57:51.442308,
106,Helen Aberson,1907,1999,United States,,"American writer (1907–1999). Born in Syracuse. Died in New York City. Occupations: writer, children's writer. Notable works: Dumbo, the Flying Elephant",Q3129587,2025-06-18T01:35:22.098308,2025-06-20T17:52:32.178942,
157,Helen Grace Carlisle,1898,1968,United States,,"American writer. Born in New York City. Occupations: writer, screenwriter",Q12019397,2025-06-19T17:55:47.602155,2025-06-20T17:53:32.700245,
1,Helen Hunt Jackson,1830,1885,United States,,"American novelist, poet, writer, activist (1830–1885). Born in Amherst. Died in San Francisco. Occupations: novelist, poet, journalist, writer. Notable works: A Century of Dishonor",Q462363,2025-06-17T03:44:44.513472,2025-06-17T16:36:29.712102,
79,Helen MacInnes,1907,1985,"United Kingdom, United States",,"20th-century Scottish-American author. Born in Glasgow. Died in New York City. Occupations: librarian, novelist, writer",Q454595,2025-06-17T03:44:44.513472,2025-06-17T16:38:11.524392,
270,Helen Rose Hull,1888,1971,,,"American novelist, feminist, and English professor. Born in Albion. Occupations: writer, novelist",Q23303108,2025-07-05T22:18:25.74318,2025-07-05T22:23:24.116143,
216,Ida M. Evans,,,,,"American writer. Occupations: short story writer, writer",Q108450876,2025-06-24T13:48:25.835294,2025-06-24T14:30:56.700036,
163,Irene Castle,,,,,novelist. Occupations: novelist,Q108792649,2025-06-19T17:55:47.602155,2025-06-20T17:53:43.029907,
77,Isobel Scott Rorick,1900,1967,United States,,,,2025-06-17T03:44:44.513472,2025-06-17T22:07:09.381084,
223,Izola Forrester,1878,1944,United States,,"American writer. Occupations: journalist, screenwriter",Q6102108,2025-07-02T23:42:40.28474,2025-07-03T00:46:30.867566,
73,Jane Allen,,,,,,-,2025-06-17T03:44:44.513472,2025-06-23T03:50:49.396576,"group pseud of Silvia Schulman and Jane Shore, and later Jane Shore and ???"
151,Jane Burr,,,,,,,2025-06-18T03:33:21.117954,2025-06-18T03:33:21.117954,pseud of Rose Burr
248,Jane Hall,,,,,health economist and researcher. Occupations: researcher,Q56587940,2025-07-05T22:18:25.74318,2025-07-05T22:22:57.263215,
74,Jeannette Stratton Porter,,,,,,,2025-06-17T03:44:44.513472,2025-06-17T03:44:44.513472,
27,Jean Webster,1876,1916,United States,,"American novelist (1876-1916). Born in Fredonia. Died in New York City. Occupations: children's writer, journalist, short story writer, screenwriter, humorist, writer, playwright, novelist",Q238140,2025-06-17T03:44:44.513472,2025-06-17T16:37:05.925261,
116,Josephine Bentham,,,,,,,2025-06-18T02:20:02.803483,2025-06-18T02:20:02.803483,
110,Josephine Daskam Bacon,1876,1961,United States,,"American writer (1876-1961). Born in Stamford. Died in New York. Occupations: playwright, writer, short story writer, children's writer, novelist, humorist",Q6288343,2025-06-18T01:57:25.66646,2025-06-20T17:52:37.494781,
81,Judith Kelly,,,,,,,2025-06-17T03:44:44.513472,2025-06-17T03:44:44.513472,
13,Kate Douglas Wiggin,1856,1923,United States,,"American writer (1856-1923). Born in Philadelphia. Died in Harrow. Occupations: children's writer, teacher, short story writer, humorist, writer, essayist, novelist, poet",Q438241,2025-06-17T03:44:44.513472,2025-06-17T16:36:47.525573,
35,Kate Langley Bosher,1865,1932,United States,,"American writer (1865–1932). Born in Norfolk. Died in Richmond. Occupations: suffragist, novelist, writer",Q6375592,2025-06-17T03:44:44.513472,2025-06-17T16:37:15.009637,
237,Katharine Fullerton Gerould,1879,1944,United States,,American writer. Born in Brockton. Occupations: writer,Q6376175,2025-07-04T00:53:10.886851,2025-07-04T03:29:17.351002,aka Katharine F. Gerould
